biomass_provider,plant_location
Primeiro De Maio,Rolândia
Ângulo,Rolândia
Sertanópolis,Rolândia
Kaloré,Rolândia
Diamante D'oeste,São Miguel Do Iguaçu
Ramilândia,São Miguel Do Iguaçu
Itaipulândia,São Miguel Do Iguaçu
Medianeira,São Miguel Do Iguaçu
Serranópolis Do Iguaçu,São Miguel Do Iguaçu
Foz Do Iguaçu,São Miguel Do Iguaçu
Missal,São Miguel Do Iguaçu
Santa Terezinha De Itaipu,São Miguel Do Iguaçu
São Miguel Do Iguaçu,São Miguel Do Iguaçu
Santa Helena,São Miguel Do Iguaçu
Matelândia,São Miguel Do Iguaçu
Reserva,Tibagi
Ortigueira,Tibagi
Ventania,Tibagi
Tibagi,Tibagi
Imbaú,Tibagi
Curiúva,Tibagi
Telêmaco Borba,Tibagi
Carlópolis,Wenceslau Braz
Pinhalão,Wenceslau Braz
Joaquim Távora,Wenceslau Braz
Japira,Wenceslau Braz
Jaguariaíva,Wenceslau Braz
Conselheiro Mairinck,Wenceslau Braz
Wenceslau Braz,Wenceslau Braz
Arapoti,Wenceslau Braz
Ribeirão Claro,Wenceslau Braz
Quatiguá,Wenceslau Braz
Guapirama,Wenceslau Braz
Jaboti,Wenceslau Braz
Figueira,Wenceslau Braz
Siqueira Campos,Wenceslau Braz
Santo Antônio Da Platina,Wenceslau Braz
Sengés,Wenceslau Braz
Salto Do Itararé,Wenceslau Braz
Santana Do Itararé,Wenceslau Braz
Tomazina,Wenceslau Braz
São José Da Boa Vista,Wenceslau Braz
Ibaiti,Wenceslau Braz
