UF;Nome;CD;Lat;Long;Carga;Energia
MG;Santo Antônio do Rio Abaixo;3160504;-43,249049;-19,241403;444;1004,39808
SP;Monções;3531001;-50,079458;-20,863136;444;1056,22272
PI;Canavieira;2202251;-43,558419;-7,557577;443;725,74016
PI;São Francisco do Piauí;2209708;-42,500946;-7,198739;441;596,87872
CE;Itapagé;2306306;-39,575436;-3,733084;441;708,9984
RJ;Porto Real;3304110;-44,326028;-22,441062;440;765,3632
PE;Catende;2604205;-35,730481;-8,675858;440;366,08
RN;Rio do Fogo;2408953;-35,400156;-5,377662;439;566,22848
CE;Barro;2302008;-38,794251;-7,125641;437;955,0848
TO;Nazaré;1714302;-47,781088;-6,330393;437;378,848
MG;Astolfo Dutra;3104601;-42,879319;-21,315494;435;387,98912
MG;Rodeiro;3156304;-42,841313;-21,210682;435;949,4464
MG;Taquaraçu de Minas;3168309;-43,685621;-19,634011;434;796,0832
SC;Urupema;4218954;-49,900901;-28,023356;432;975,85152
ES;Marilândia;3203353;-40,517942;-19,435077;432;519,7184
CE;Jucás;2307403;-39,608054;-6,458348;431;680,95872
CE;Massapê;2308005;-40,388028;-3,484336;431;639,28704
RS;Dom Pedro de Alcântara;4306551;-49,855402;-29,367537;431;805,0912
PE;Machados;2609105;-35,500263;-7,704601;430;505,95008
CE;Capistrano;2302909;-38,909321;-4,468687;428;908,03328
PI;Campinas do Piauí;2202109;-41,86473;-7,650409;427;639,66208
SP;São Simão;3550902;-47,568273;-21,461521;427;1001,74592
CE;Pacujá;2309904;-40,690073;-4,001266;427;832,3872
AL;Belém;2700805;-36,491784;-9,557402;426;404,34816
SE;Indiaroba;2802809;-37,529694;-11,475556;426;481,69216
SP;Eldorado;3514809;-48,233625;-24,495016;426;625,4336
PE;Santa Maria do Cambucá;2612703;-35,882897;-7,824748;425;353,6
PE;Pesqueira;2610905;-36,739467;-8,390753;425;591,52064
MG;Palma;3146701;-42,328882;-21,419077;425;850,9376
